event_id,p_star,q_star,a11,a12,a21,a22,b11,b12,b21,b22,t1,t2,t3,t4,t5,merging_id,lag_id,lead_id
2289.0,1.0,0.008742431196034281,1.0,-0.008819535377250887,0.0,0.0,1.0,-1.0088195353772509,1.0,-1248.3720028202154,0,-1.0088195353772509,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2290.0,1.0,0.007234250518261752,1.0,-0.007286966257687988,0.0,0.0,1.0,-1.007286966257688,1.0,-1248.3720028202154,0,-1.007286966257688,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2291.0,1.0,0.004386442535825664,1.0,-0.004405768184794434,0.0,0.0,1.0,-1.0044057681847944,1.0,-1248.3720028202154,0,-1.0044057681847944,0,-1248.3720028202154,0,2392.0,2486.0,-9999.0
2292.0,1.0,0.08382338957994086,1.0,-0.09149261029651101,0.0,0.0,1.0,-1.091492610296511,1.0,-402.7170906341669,0,-1.091492610296511,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2293.0,1.0,0.0794801644588934,1.0,-0.08634269614860912,0.0,0.0,1.0,-1.0863426961486091,1.0,-402.7170906341669,0,-1.0863426961486091,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2294.0,1.0,0.07512161124930145,1.0,-0.08122323125181219,0.0,0.0,1.0,-1.0812232312518122,1.0,-402.7170906341669,0,-1.0812232312518122,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2295.0,1.0,0.07117202422517636,1.0,-0.07662562506884552,0.0,0.0,1.0,-1.0766256250688455,1.0,-402.7170906341669,0,-1.0766256250688455,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2296.0,1.0,0.06820633043660305,1.0,-0.07319896310152219,0.0,0.0,1.0,-1.0731989631015222,1.0,-402.7170906341669,0,-1.0731989631015222,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2297.0,1.0,0.0654773106924511,1.0,-0.0700649769573467,0.0,0.0,1.0,-1.0700649769573467,1.0,-402.7170906341669,0,-1.0700649769573467,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2298.0,1.0,0.06270296556890277,1.0,-0.06689764638694395,0.0,0.0,1.0,-1.066897646386944,1.0,-402.7170906341669,0,-1.066897646386944,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2299.0,1.0,0.059584048778910687,1.0,-0.06335924938485293,0.0,0.0,1.0,-1.063359249384853,1.0,-402.7170906341669,0,-1.063359249384853,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2300.0,1.0,0.055812259877039236,1.0,-0.05911140073664889,0.0,0.0,1.0,-1.059111400736649,1.0,-402.7170906341669,0,-1.059111400736649,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2301.0,1.0,0.05137059543205753,1.0,-0.05415243843875417,0.0,0.0,1.0,-1.0541524384387542,1.0,-402.7170906341669,0,-1.0541524384387542,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2302.0,1.0,0.04749243052758508,1.0,-0.049860423213109684,0.0,0.0,1.0,-1.0498604232131097,1.0,-402.7170906341669,0,-1.0498604232131097,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
2303.0,1.0,0.04293746344838495,1.0,-0.044863801275821125,0.0,0.0,1.0,-1.0448638012758211,1.0,-402.7170906341669,0,-1.0448638012758211,0,-402.7170906341669,0,1427.0,1583.0,-9999.0
